Siglent Technologies,SSA5085A,SSA5AA4D900088,1.9.0.2.2R3
PMA Benchtop NPD v2.00,,,
Frequency Start = 2.0 GHz,,,
Frequency Stop = 5.0 GHz,,,
Frequency Step = 0.3 MHz,,,
Number of Frequency Points = 10001.0,,,
Number of Averages = 10.0,,,
Resolution Bandwidth = 10.0 KHz,,,
,,,
Freq(GHz),Raw Data,dBm/Hz,
2.1758,-119.4022,-159.4022,
2.1761,-118.9497,-158.9497,
2.1764,-119.157,-159.157,
2.1767,-119.3309,-159.3309,
2.177,-117.2172,-157.2172,
2.1773,-118.3192,-158.3192,
2.1776,-119.1176,-159.1176,
2.1779,-118.2344,-158.2344,
2.1782,-118.2509,-158.2509,
2.1785,-119.4401,-159.4401,
2.1788,-118.6018,-158.6018,
2.1791,-117.8684,-157.8684,
2.1794,-118.8851,-158.8851,
2.1797,-117.6099,-157.6099,
2.18,-118.5281,-158.5281,
2.1803,-118.6538,-158.6538,
2.1806,-119.2423,-159.2423,
2.1809,-119.1279,-159.1279,
2.1812,-117.7958,-157.7958,
2.1815,-118.7038,-158.7038,
2.1818,-118.1716,-158.1716,
2.1821,-119.9992,-159.9992,
2.1824,-119.3689,-159.3689,
2.1827,-116.3978,-156.3978,
2.183,-119.788,-159.788,
2.1833,-118.8318,-158.8318,
2.1836,-116.818,-156.818,
2.1839,-118.7001,-158.7001,
2.1842,-120.297,-160.297,
2.1845,-118.3857,-158.3857,
2.1848,-118.4308,-158.4308,
2.1851,-119.8181,-159.8181,
2.1854,-117.8764,-157.8764,
2.1857,-117.1962,-157.1962,
2.186,-117.6721,-157.6721,
2.1863,-119.3868,-159.3868,
2.1866,-118.601,-158.601,
2.1869,-120.5197,-160.5197,
2.1872,-119.6743,-159.6743,
2.1875,-119.2085,-159.2085,
2.1878,-118.7706,-158.7706,
2.1881,-117.5928,-157.5928,
2.1884,-118.3446,-158.3446,
2.1887,-119.2532,-159.2532,
2.189,-119.1177,-159.1177,
2.1893,-117.5853,-157.5853,
2.1896,-118.8354,-158.8354,
2.1899,-120.3182,-160.3182,
2.1902,-119.4188,-159.4188,
2.1905,-119.4385,-159.4385,
2.1908,-119.1241,-159.1241,
2.1911,-119.7314,-159.7314,
2.1914,-118.4159,-158.4159,
2.1917,-118.7442,-158.7442,
2.192,-119.2585,-159.2585,
2.1923,-118.7561,-158.7561,
